◇ injected env (62) from ../.env // tip: ⌁ auth for agents [www.vestauth.com]
contract,usuario_id,wallet,course_id,guide_id,guide_num,usdt,is_perfect,profile_score,status,hash,timestamp,block
V2,577,0x0663543adc8f017b77778b21010773d2a0d163ff,2,13,3,0,true,68,success,0x8fce05d9d5f934b9a4d78d3659242c8ba3f4d082f7eb4b691fa297a95b3344dc,2026-03-05T05:06:53.000000Z,60786455
V2,577,0x0663543adc8f017b77778b21010773d2a0d163ff,2,12,2,0,true,68,success,0x3a40235cfa2e1bc248cebfc0725f9767d86b3805429ed4a59ac17667986515d6,2026-03-04T05:02:32.000000Z,60699794
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,2,11,1,0,true,100,success,0xaa35ece7a3a3aec75efd82d90adcf4a14fcd1a1435bf203502371f0887549bba,2026-03-03T06:14:43.000000Z,60617725
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,1,2,2,0,true,100,success,0x23f77ad1615493083495b8353ca5e357af8f4f2dd6c08129c08918a51314b362,2026-03-03T06:03:52.000000Z,60617074
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,107,120,3,0,false,100,success,0x35f148dc50f730978d891cd5d3c27a84d560999d780e32518ee079634f178777,2026-03-03T05:58:23.000000Z,60616745
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,107,119,2,0,true,100,success,0x2aefc082cb78f771fcff2eda0d5119a6ee806fc9d99b92dac54a8cc42c28f2d2,2026-03-02T04:48:34.000000Z,60526156
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,1,1,1,0,true,100,success,0x1ee1d7e99d13c864d6d31273929c72977cd3e392a68ed7af0149be9c4d56fe89,2026-03-02T04:40:46.000000Z,60525688
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,105,110,1,0,true,68,success,0xdc7da994b8ff1967ae8e04c2dae504bfc301032b3de370261b7f0597e39f3b6c,2026-02-21T09:34:49.000000Z,59765731
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,1,1,1,0,false,100,success,0x0f87e62376482e0ff1a31ade47468830478c1a3b35ba91c5444288b7559967a3,2026-02-20T22:13:40.000000Z,59724862
V2,576,0x5925ec95e7ee0a5699dbd2d63c87019f8df9685f,107,118,1,0,true,100,success,0x3cb74bcdecd003078c4c126d8adcb5c71220a21b91ea7aa083b8673a16c4997f,2026-02-20T20:46:37.000000Z,59719639
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,2,14,4,0,true,68,success,0x7eb8a70e1bffa47d26f5f498d9468305287cb08fce0f766fba856bcb5c55311a,2026-02-18T11:36:37.000000Z,59513839
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,14,4,0,true,68,success,0x8fca861b311dc363da796b71374191e3cc84cc339c82b3afa459e4ae73b05b1b,2026-02-17T11:19:26.000000Z,59426408
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,2,13,3,0,true,68,success,0x26747f61bb8777865e8d6de978d6018a7422cb561ea6b536e7f2c8f4ca95cc73,2026-02-16T10:40:18.000000Z,59337660
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,14,4,0,false,68,success,0xa6781dea9953143b70a0725ea25b9129e645183542633d904c2d5c4d200baba1,2026-02-14T23:12:03.000000Z,59209965
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,13,3,0,true,68,success,0x2bef0894c418ca50874641c7f4cb790766e6cf062c0ed453458bb516acf0e3d7,2026-02-13T19:12:37.000000Z,59109199
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,103,108,4,0,false,100,success,0x785b95f1949199938728f5e915187b5dd07ee497b68ef9667b195c7a3d010de8,2026-02-13T12:18:11.000000Z,59084333
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,2,12,2,0,true,68,success,0x759c80fc37564dcdc1f8a523b945cb675ff8506b94b8ce4978d701e340abb963,2026-02-12T20:23:10.000000Z,59027032
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,12,2,0,true,68,success,0xca0b6ed6cdac5cb4cec2a7921139ea38c45c394ec6b332807d2f6015660fa97d,2026-02-12T12:11:26.000000Z,58997528
V2,101,0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,2,13,3,0,true,100,success,0x04c80e44a708a216f3262cba4e7433250797fce2633238e6ce26f76939367fca,2026-02-12T09:56:35.000000Z,58989437
V2,108,0x939aa9effad34e11bb8fa3025f1b500e87970cae,1,2,2,0,true,76,success,0xb8424e353bffbdafb443e989ef1f0fff22a1fe8977a29d05ac67320d25932e3c,2026-02-11T08:18:29.000000Z,58897151
V2,101,0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,1,3,3,0,false,100,success,0x4e2efb4994ff6807a24117739924252a08d4a645ecbcfcc4b9b102e0b0f37d9e,2026-02-11T08:14:22.000000Z,58896904
V2,101,0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,2,12,2,0,true,100,success,0x72b732c335194fcc0a1b2e17051ff8211f11df500029b098166e9edd44b20441,2026-02-08T10:22:48.000000Z,58645410
V2,492,0x3be451ed7782221bedba84febe79238adfe6cea3,2,12,2,0,true,68,success,0xf13f141181450c147081f90dfe2bb8aa3f85e3cb5237ea836ba58e0b5c4c068d,2026-02-06T17:45:02.000000Z,58499144
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,12,2,0,false,68,success,0x609c9c1b609615422a0cbc4e5640329b5a059af692bd8ce23a65aaef41390ea1,2026-02-06T17:18:14.000000Z,58497536
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,105,112,3,0,true,68,success,0xdd93074475ba7ae0c212390797c81547c2fa00fdeb16ba2c7e00b6bf1973cba8,2026-02-06T04:45:08.000000Z,58452350
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,2,11,1,0,true,68,success,0x16f0c9d083c1b4a807d6dfb2f76f147656909666cf874b6d77bfdd3a2979acee,2026-02-05T16:33:32.000000Z,58408454
V2,145,0x2cdc442ec321ad8e5c136a461ad0c81b3e4f57f4,105,111,2,0,true,100,success,0x05de0260910560ef8565fd8568d9a287b850fd6b5333b5ec9319d66eba5f59ac,2026-02-04T19:10:24.000000Z,58331466
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,105,113,4,0,true,68,success,0xb5785600785f608951772b3c79bda10aede5ee890641a7a2c88e5db7a1064d1e,2026-02-04T15:34:21.000000Z,58318503
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,2,11,1,0,true,68,success,0x28b611044477ea8dc1da867c066e537e16ca56671a960f707e53b518f28aab37,2026-02-04T14:30:04.000000Z,58314646
V2,108,0x939aa9effad34e11bb8fa3025f1b500e87970cae,105,110,1,0,true,76,success,0x6d9dc249f94545840304da6de09ab92dc42ca12c47d4fdfb02102023206c3b9f,2026-02-03T23:25:15.000000Z,58260357
V2,108,0x939aa9effad34e11bb8fa3025f1b500e87970cae,2,11,1,0,true,76,success,0x800f6c11b520fd6376da55ecab51f7010fe18962092d8e971faed69e6fa4685f,2026-02-03T21:18:43.000000Z,58252765
V2,571,0xc0a4a8096bb63b6fbf4b10a5badbdd4db32ead68,105,112,3,0,true,68,success,0xf159293800b0969966cdeac731be3d7d7d62cd8dd06335867f53a6180460adb7,2026-02-03T18:26:34.000000Z,58242436
V2,145,0x2cdc442ec321ad8e5c136a461ad0c81b3e4f57f4,105,111,2,0,false,100,success,0x0cabe2ad67991b09c3166dcb3c69e44eaf48010c1c21e9d8e1a466aa380081bd,2026-02-03T17:06:34.000000Z,58237636
